id	frequency	board	fill
01089be4c9186e9dcd02d5eba5078935	3355	Rw,Bb,Rw,Pb,Qb,Bw,Rb,Qb,Nw,,,,,,,Kb,Pb,,,,,,,Pb,Kb,,,,,,,Nb,Bw,,,,,,,Bw,Nb,,,,,,,Kw,Pw,,,,,,,Pw,Nb,Kb,Qw,Nw,Rb,Kw,Qb,Pb	lightRed	
0116c72b1d3390f68cb992c9333fb336	664	Rw,Qb,Kw,Rw,Nb,Qw,Kb,Nw,Rb,,,,,,,Nb,Bw,,,,,,,Rw,Qw,,,,,,,Kw,Pw,,,,,,,Qb,Rw,,,,,,,Nw,Bb,,,,,,,Rb,Pb,Rb,Kb,Bb,Nw,Pw,Kw,Nw	lightGray	
01255d2b7ea5d67ea4816934bee71d31	2276	Kw,Rb,Bw,Qw,Pw,Rw,Bb,Nb,Rb,,,,,,,Qb,Bw,,,,,,,Nw,Qw,,,Nw,Nw,,,Rb,Pw,,,Nw,Nw,,,Kb,Rw,,,,,,,Qw,Bb,,,,,,,Nb,Nw,Pb,Kb,Bw,Nb,Pw,Kw,Nw	lightRed	
016647032a5a7bb1fa8bbd611baa9c12	1764	Nb,Qb,Kw,Rw,Nb,Qw,Pw,Bb,Nb,,,,,,,Rb,Pw,,,,,,,Bw,Kw,,,,,,,Qb,Bb,,,,,,,Pb,Nw,,,,,,,Rw,Pb,,,,,,,Bb,Pb,Rw,Kw,Qw,Nb,Rb,Kb,Qw	lightGray	
016d68816f42f1348d27345e16bad95f	2447	Bw,Kb,Bw,Nb,Pw,Kw,Bb,Nw,Nw,,,,,,,Nw,Bb,,,,,,,Qb,Kb,,,,,,,Kw,Pb,,,,,,,Pw,Nb,,,,,,,Nb,Bw,,,,,,,Bw,Rw,Rw,Rw,Rw,Rw,Rw,Rw,Rw	darkRed	
019f2ae8f1d36973546b8cbaec0ab2f7	3213	Kw,Nw,Pb,Qb,Bw,Nb,Pw,Pb,Qb,,,,,,,Bb,Kw,,,,,,,Kw,Rb,,,,,,,Pw,Nw,,,,,,,Nb,Qw,,,,,,,Bw,Kb,,,,,,,Kb,Qb,Pb,Nw,Bb,Kw,Pw,Rb,Nb	darkRed	
01cc70599bea9004091f7506511ba2a0	1270	Pb,Nb,Qw,Kb,Rb,Nw,Qb,Rw,Bb,,,,,,,Rw,Qw,,,,,,,Rw,Pw,,,Pw,Pw,,,Rw,Rb,,,Pw,Pw,,,Rw,Bw,,,,,,,Rw,Qb,,,,,,,Rw,Qw,Qw,Pw,Rb,Bw,Qb,Pb,Rw	darkGray	
01d16fd70ba1823a4bb36e9893c1fcab	1629	Qw,Bb,Nw,Pb,Kb,Bw,Rb,Bb,Bb,,,,,,,Rw,Kw,,,,,,,Kw,Pw,,,,,,,Qw,Nb,,,,,,,Nb,Bw,,,,,,,Rb,Kb,,,,,,,Kb,Nw,Pw,Nb,Bw,Kb,Pb,Nw,Rb	darkRed	
01d51a7d0ac7d1f2e71aed6e42b1ca5e	2379	Qw,Bw,Kb,Pb,Nw,Qb,Kw,Bw,Pb,,,,,,,Bw,Qb,,,,,,,Qb,Bb,,,,,,,Pw,Rw,,,,,,,Rb,Pw,,,,,,,Bb,Qw,,,,,,,Qw,Nb,Pb,Qb,Bb,Rw,Pw,Kw,Rw	lightRed	
01debd559715950186bed8588055c556	720	Nw,Kw,Rw,Nb,Qw,Kb,Rb,Kb,Pb,,,,,,,Kb,Rw,,,,,,,Rb,Nb,,,,,,,Nw,Qw,,,,,,,Bb,Pw,,,,,,,Kw,Rb,,,,,,,Pw,Rb,Nw,Rb,Kb,Qw,Bb,Rw,Pw	lightGray	
01e8d47d8099f7c1d270e3e1760d3add	2904	Pb,Nw,Rb,Kw,Qb,Nb,Rw,Rb,Nb,,,,,,,Nb,Rw,,,,,,,Rw,Kb,,,Pb,Pb,,,Kw,Bw,,,Pb,Pb,,,Qb,Nw,,,,,,,Nw,Pb,,,,,,,Rb,Pw,Qw,Bb,Rb,Pw,Qb,Bw,Nb	lightGray	
01ff09f9cd6cfb1975d059a7b36f9317	195	Rw,Bb,Kw,Pw,Nb,Bw,Kb,Kb,Rw,,,,,,,Qw,Rw,,,,,,,Pw,Rw,,,,,,,Rb,Rw,,,,,,,Bw,Rw,,,,,,,Qb,Rw,,,,,,,Pb,Rw,Nb,Rw,Kw,Qb,Nw,Rb,Pb	lightGray	
02b818408e61d68a471dc20c70c283a2	2967	Qb,Rb,Nw,Qb,Kw,Rw,Nb,Kb,Nb,,,,,,,Kw,Qw,,,,,,,Pw,Kb,,,,,,,Nb,Rb,,,,,,,Bw,Bw,,,,,,,Kb,Qb,,,,,,,Pb,Kw,Bw,Kb,Pw,Nb,Bb,Kw,Qw	darkGray	
02c0e3bdb22896975ece9b20876349c5	10	Pw,Kb,Qw,Nb,Rw,Kw,Qb,Bw,Nw,,,,,,,Qb,Rb,,,,,,,Pb,Kb,,,,,,,Rb,Qw,,,,,,,Bw,Nb,,,,,,,Qw,Rw,,,,,,,Pw,Pw,Bw,Nb,Pw,Kw,Bb,Nw,Pb	lightGray	
02ca1cb977c02bea69a88dd6a2868ac6	1220	Rw,Rb,Pw,Qw,Bb,Rw,Pb,Bb,Pw,,,,,,,Qb,Nb,,,,,,,Bw,Bb,,,,,,,Rb,Kw,,,,,,,Pw,Pb,,,,,,,Qw,Nw,,,,,,,Nb,Nw,Kb,Rb,Nb,Qw,Kw,Rw,Pb	lightRed	
02e12f1e975b66bad1925c46a3797587	2872	Bw,Kb,Bw,Nw,Pb,Kw,Bb,Rw,Pw,,,,,,,Qb,Kw,,,,,,,Bw,Bb,,,Bb,Bb,,,Rw,Nw,,,Bb,Bb,,,Pb,Pb,,,,,,,Qw,Kb,,,,,,,Bb,Pb,Pw,Qw,Bb,Rw,Pb,Qb,Kb	darkGray	
030b8b03b0f2a2550ef38b1a8bfe54c9	643	Nb,Kw,Qb,Nw,Rb,Pw,Qw,Kw,Pw,,,,,,,Qb,Kw,,,,,,,Pb,Bw,,,,,,,Rw,Nb,,,,,,,Bb,Pb,,,,,,,Qw,Kb,,,,,,,Pw,Kw,Kw,Bb,Nw,Pb,Kb,Bw,Nb	lightGray	
030c9049012b5375c6561aee56fd1cca	1789	Kb,Pb,Qb,Bb,Rw,Pw,Kw,Pw,Rw,,,,,,,Bw,Pb,,,,,,,Nb,Qw,,,Pb,Pb,,,Pw,Bb,,,Pb,Pb,,,Kw,Rb,,,,,,,Bb,Pw,,,,,,,Nw,Bw,Pw,Kw,Bw,Nb,Pb,Kb,Rw	darkGray	
035490ed2a15e72b0faf4a3472dd53bd	1261	Bb,Rb,Kb,Qb,Nw,Rw,Pb,Rw,Pw,,,,,,,Kw,Rb,,,,,,,Pw,Bw,,,,,,,Nb,Qb,,,,,,,Bw,Pb,,,,,,,Kb,Rw,,,,,,,Pb,Nb,Qw,Pw,Rw,Bb,Qb,Pb,Pb	lightGray	
03792a5e30f120b65cac3a6e319ba837	738	Rw,Rw,Rw,Rw,Rw,Rw,Rw,Rw,Nb,,,,,,,Pb,Rw,,,,,,,Rw,Kw,,,,,,,Bb,Qb,,,,,,,Qw,Nw,,,,,,,Pw,Rb,,,,,,,Rb,Bb,Rb,Bw,Qw,Pw,Rw,Bb,Nw	lightGray	
03a7e64958744e26a4e7dc3d66369567	2306	Rw,Rw,Rw,Rw,Rw,Rw,Rw,Rw,Nb,,,,,,,Nw,Rw,,,,,,,Qb,Kw,,,,,,,Kb,Qb,,,,,,,Rb,Nw,,,,,,,Nb,Rb,,,,,,,Qw,Qb,Nw,Pb,Kw,Bb,Nb,Pw,Nb	darkRed	
03ec5205778d49b5f95a61437afe77b4	191	Qw,Rb,Nw,Qw,Kb,Pw,Nb,Rb,Rb,,,,,,,Kw,Bw,,,,,,,Bb,Qb,,,,,,,Nb,Pb,,,,,,,Pw,Rw,,,,,,,Kb,Bb,,,,,,,Bw,Rw,Kb,Pb,Nb,Bw,Kw,Pw,Qb	lightGray	
0404378c6164b913e12e34e9daa7fedb	765	Qb,Kw,Rw,Nw,Qb,Kb,Rb,Qw,Rb,,,,,,,Kb,Pw,,,,,,,Rb,Qb,,,,,,,Bb,Bw,,,,,,,Qw,Rw,,,,,,,Pb,Pb,,,,,,,Rw,Bw,Kb,Qw,Nw,Rb,Kw,Qb,Rw	darkGray	
040ef8d1143c849a720c192c0877c910	2374	Pw,Qb,Nw,Rw,Kw,Qw,Nb,Kb,Rw,,,,,,,Bb,Pb,,,,,,,Rw,Qb,,,,,,,Pw,Bw,,,,,,,Qw,Rb,,,,,,,Bw,Pw,,,,,,,Rb,Nw,Pw,Kw,Bw,Nb,Pb,Kb,Rb	darkRed	
0421821645c02cdd514303014d02cab9	35	Kb,Kb,Qw,Nw,Pb,Kw,Bb,Pw,Bw,,,,,,,Nw,Nb,,,,,,,Pb,Pw,,,,,,,Kb,Kw,,,,,,,Bw,Bb,,,,,,,Nb,Nw,,,,,,,Pw,Bw,Bw,Rb,Pb,Qb,Bb,Nw,Qb	darkGray	
04222974b874497b5e310cb4f48b2410	1291	Bb,Pb,Rw,Bb,Kw,Pw,Rb,Kb,Rw,,,,,,,Bw,Bb,,,,,,,Nb,Qw,,,,,,,Pw,Pw,,,,,,,Kw,Rb,,,,,,,Bb,Bw,,,,,,,Nw,Bb,Kb,Pb,Nw,Bb,Kw,Pw,Qw	darkRed	
0424f97926cd1a188c91beec7e281fc1	3181	Nb,Kw,Rw,Nw,Qb,Kb,Rb,Rb,Nw,,,,,,,Pb,Bb,,,,,,,Rw,Kw,,,,,,,Bb,Pw,,,,,,,Qw,Nb,,,,,,,Pw,Bw,,,,,,,Rb,Rb,Kb,Qw,Nw,Rb,Kw,Qb,Bw	lightRed	
0430cea507a6e13ce4abb1babd2d6abf	1425	Pw,Nb,Qw,Kb,Rb,Nw,Qb,Pw,Pb,,,,,,,Qb,Qb,,,,,,,Kw,Bw,,,Pw,Pw,,,Pw,Rb,,,Pw,Pw,,,Nb,Pw,,,,,,,Bw,Qw,,,,,,,Kb,Nb,Kb,Bw,Nw,Pb,Kw,Bb,Nb	lightRed	
04429cf4fc96bd5f58bb4617c8df0504	4087	Rw,Nw,Rb,Kw,Qb,Nb,Rw,Kw,Rw,,,,,,,Pb,Rw,,,,,,,Kb,Rw,,,Pb,Pb,,,Bw,Rw,,,Pb,Pb,,,Nb,Rw,,,,,,,Pw,Rw,,,,,,,Kw,Rw,Nw,Rb,Kw,Qb,Nb,Rw,Nw	lightGray	
0483dabd1d73669599bbfc53d9e4267b	3162	Bw,Qb,Nw,Rb,Kb,Qw,Bb,Rb,Bb,,,,,,,Nw,Kw,,,,,,,Qb,Pb,,,Pw,Pw,,,Kw,Nw,,,Pw,Pw,,,Rw,Bw,,,,,,,Nb,Qb,,,,,,,Qw,Qw,Rw,Nb,Qw,Kb,Rb,Nw,Bb	lightGray	
04848d0c60f873804fa4aa45bde93343	30	Pb,Qb,Bw,Rw,Pb,Qw,Bb,Nw,Pb,,,,,,,Rb,Kb,,,,,,,Pw,Bw,,,Qb,Qb,,,Qw,Nb,,,Qb,Qb,,,Bb,Pw,,,,,,,Rw,Kw,,,,,,,Pb,Rb,Qb,Pb,Rw,Bb,Qw,Pw,Pb	darkGray	
04957cf4ca1e7dc35103a602277fa7e1	798	Pb,Pb,Rw,Nb,Qw,Pw,Rb,Pb,Nb,,,,,,,Rw,Pw,,,,,,,Kw,Qb,,,Qb,Qb,,,Bw,Bw,,,Qb,Qb,,,Nb,Nw,,,,,,,Rb,Pb,,,,,,,Kb,Pb,Kw,Bb,Rb,Pw,Qb,Bw,Kw	lightGray	
04b33493c655e3bb102f96395769e0bd	221	Bb,Qw,Kb,Rb,Nw,Qb,Kw,Nb,Rb,,,,,,,Bb,Kb,,,,,,,Kw,Qb,,,,,,,Pw,Nw,,,,,,,Nb,Pw,,,,,,,Bw,Kw,,,,,,,Kb,Rw,Pb,Kb,Bb,Nw,Pw,Kw,Bw	lightGray	
04ca66067e42e0f86d51def00b2b3f10	3144	Qb,Pw,Kw,Bw,Nb,Pb,Kb,Kw,Kw,,,,,,,Rb,Bb,,,,,,,Bw,Nw,,,Nw,Nw,,,Qw,Pb,,,Nw,Nw,,,Pw,Kb,,,,,,,Rw,Bw,,,,,,,Bb,Kb,Nw,Qb,Kw,Rw,Nb,Qw,Pw	lightRed	
04e974b56720db88c895fecf79efc379	3833	Rb,Qb,Kw,Rb,Nw,Qw,Kb,Rw,Rb,,,,,,,Nw,Bw,,,,,,,Rb,Qb,,,,,,,Kb,Pb,,,,,,,Qw,Rw,,,,,,,Nb,Bb,,,,,,,Rw,Qb,Kw,Bb,Rb,Pw,Qb,Bw,Pb	lightRed	
0547bc96613345cae1e316c5fd2d188b	372	Qw,Qb,Nw,Rw,Kw,Qw,Bb,Qw,Bb,,,,,,,Rb,Qw,,,,,,,Nw,Pw,,,,,,,Qw,Rb,,,,,,,Kb,Bw,,,,,,,Rw,Qb,,,,,,,Nb,Qb,Pw,Nb,Bb,Kw,Pb,Nw,Rw	darkRed	
05664e4fa16a42224206c3fde1728cae	3361	Kw,Pw,Kw,Bb,Nw,Pb,Kb,Bb,Bb,,,,,,,Nw,Kw,,,,,,,Qb,Pw,,,,,,,Kw,Nb,,,,,,,Rw,Qw,,,,,,,Nb,Kb,,,,,,,Qw,Pw,Bb,Nw,Pw,Kw,Bw,Nb,Nb	lightRed	
0599ae72629ef87569e53d75b1106aa2	2475	Qw,Nb,Bw,Kb,Pb,Nw,Bb,Kb,Bw,,,,,,,Qb,Kb,,,,,,,Kw,Pb,,,,,,,Rb,Nw,,,,,,,Nw,Bb,,,,,,,Qw,Kw,,,,,,,Kb,Rb,Rw,Nb,Qw,Kb,Rb,Nw,Kw	darkGray	
05a8b6681b8082139836afda726e05d6	2463	Rb,Kb,Bw,Nb,Pw,Kw,Bb,Pw,Nb,,,,,,,Nw,Rw,,,,,,,Pb,Kw,,,,,,,Kb,Qb,,,,,,,Bw,Nw,,,,,,,Nb,Rb,,,,,,,Pw,Bw,Pb,Qb,Bb,Rw,Pw,Qw,Pw	lightGray	
05d1564db85d0f1f00a88f77a7760da0	606	Qb,Pw,Kw,Bb,Nw,Pb,Kb,Qw,Rb,,,,,,,Bw,Nw,,,,,,,Nb,Qw,,,Nb,Nb,,,Pb,Kb,,,Nb,Nb,,,Kb,Rw,,,,,,,Bb,Nb,,,,,,,Nw,Nw,Bb,Kw,Pw,Nb,Bw,Kb,Qb	lightGray	
05d942edb217218f0ac889901acde289	3400	Nb,Kb,Bw,Rw,Pb,Kw,Bb,Rw,Nw,,,,,,,Rw,Rb,,,,,,,Bb,Kw,,,Bb,Bb,,,Qw,Qb,,,Bb,Bb,,,Pw,Nb,,,,,,,Rb,Rw,,,,,,,Bw,Kb,Kb,Bw,Nw,Pb,Kw,Bb,Kw	lightGray	
05df2ac0cc3e7f0ed7a61e857d7721f6	3882	Qb,Kb,Qw,Nw,Rb,Kw,Qb,Qb,Bb,,,,,,,Rw,Kw,,,,,,,Bb,Pw,,,,,,,Qw,Nb,,,,,,,Pw,Qw,,,,,,,Rb,Kb,,,,,,,Bw,Qw,Kw,Qb,Bw,Rb,Pw,Qw,Bw	lightRed	
05ec4fd13ac96ad5d1a57077e257dcef	105	Kb,Nw,Pb,Kw,Bb,Nb,Pw,Nb,Rw,,,,,,,Nw,Bb,,,,,,,Rb,Qb,,,Rb,Rb,,,Kb,Pb,,,Rb,Rb,,,Qw,Rb,,,,,,,Nb,Bw,,,,,,,Rw,Pb,Rb,Nw,Qw,Kb,Rw,Nb,Pb	lightGray	
063bb4b2349a64d5a571146857e650c6	951	Pb,Bw,Kb,Pw,Nb,Bb,Kw,Rb,Bw,,,,,,,Pb,Kb,,,,,,,Rw,Pw,,,Rb,Rb,,,Bb,Nb,,,Rb,Rb,,,Qw,Bb,,,,,,,Pw,Kw,,,,,,,Rb,Qw,Pw,Qw,Bw,Rb,Pb,Qb,Nw	darkGray	
063fd99ceb5176d845efe270c7edab96	983	Rb,Qw,Kb,Rw,Nb,Qb,Kw,Kw,Pb,,,,,,,Pw,Rw,,,,,,,Kw,Bb,,,Nb,Nb,,,Bw,Qw,,,Nb,Nb,,,Nb,Pw,,,,,,,Pb,Rb,,,,,,,Kb,Nw,Bw,Nb,Pb,Kb,Bb,Nw,Kb	lightRed	
0664f7c2ecdd58b527d644788472196b	1292	Nb,Qb,Nw,Pw,Kw,Qw,Nb,Kw,Nw,,,,,,,Rb,Rb,,,,,,,Kb,Kw,,,Nw,Nw,,,Qb,Kb,,,Nw,Nw,,,Nw,Nb,,,,,,,Rw,Rw,,,,,,,Kw,Bb,Qw,Nb,Rw,Kw,Qb,Nw,Rb	lightGray	
067593891c15969416c6d08ee18ff4f0	2169	Kb,Bw,Qb,Pb,Rw,Bb,Qw,Qw,Pw,,,,,,,Bb,Nb,,,,,,,Rw,Bb,,,Nw,Nw,,,Pb,Kw,,,Nw,Nw,,,Qb,Pb,,,,,,,Bw,Nw,,,,,,,Rb,Rw,Qb,Kw,Rw,Nb,Qw,Kb,Qb	darkRed	
068a07ee597619a638796d99b527cc45	388	Rw,Qw,Bb,Rw,Pb,Qb,Bw,Bw,Qw,,,,,,,Pb,Bb,,,,,,,Qb,Nw,,,Pw,Pw,,,Nb,Pb,,,Pw,Pw,,,Rw,Qw,,,,,,,Pw,Bw,,,,,,,Qw,Rb,Kb,Bw,Nb,Pw,Kw,Bb,Pw	darkGray	
06aeb8f7aa34d69c3a8b966e1f62228b	3	Kb,Qw,Pw,Rw,Bb,Qb,Pb,Qw,Qw,,,,,,,Rb,Bb,,,,,,,Bw,Rb,,,Nb,Nb,,,Qb,Pw,,,Nb,Nb,,,Pb,Qb,,,,,,,Rw,Bw,,,,,,,Bb,Kw,Kb,Pb,Rw,Bb,Qw,Pw,Rw	darkGray	
06bb7f5ecb9ec74cd723ca47b67fb7d1	3911	Qb,Qb,Kw,Rw,Nb,Qw,Kb,Qb,Qw,,,,,,,Bb,Nb,,,,,,,Kw,Rw,,,,,,,Pb,Pb,,,,,,,Nw,Qb,,,,,,,Bw,Bw,,,,,,,Kb,Bb,Bb,Qw,Pb,Rw,Bw,Qb,Rw	darkRed	
06d33c5143f8dac159e17292aa7a4331	1172	Qw,Kb,Qw,Nw,Rb,Kw,Qb,Kb,Pb,,,,,,,Bb,Qb,,,,,,,Qw,Bw,,,Pb,Pb,,,Pb,Rb,,,Pb,Pb,,,Rw,Pw,,,,,,,Bw,Qw,,,,,,,Qb,Bb,Pw,Nb,Bb,Kw,Pb,Nw,Qw	lightGray	
0703506fc34dfb819c098c128a17e257	1750	Kb,Rb,Nw,Qb,Kw,Rw,Nb,Kb,Bw,,,,,,,Qb,Qb,,,,,,,Bw,Pw,,,,,,,Rb,Rb,,,,,,,Pw,Bb,,,,,,,Qw,Qw,,,,,,,Bb,Qw,Bw,Nb,Pb,Kb,Bb,Nw,Bw	darkRed	
07266d4ea8f7a268ae9b0cb56c412f18	3096	Pb,Nb,Rw,Kb,Kw,Nw,Rb,Kw,Pb,,,,,,,Kw,Qb,,,,,,,Bb,Bb,,,Pb,Pb,,,Nb,Rw,,,Pb,Pb,,,Pw,Pw,,,,,,,Kb,Qw,,,,,,,Bw,Bw,Nw,Bb,Kb,Pb,Nb,Bw,Nw	darkRed	
073f647aa658187375a39d5834240ccf	1320	Bb,Kb,Qw,Nb,Rw,Pb,Qb,Rb,Qw,,,,,,,Bb,Bb,,,,,,,Nw,Nw,,,Nb,Nb,,,Pw,Pb,,,Nb,Nb,,,Kw,Kb,,,,,,,Bw,Bw,,,,,,,Nb,Rb,Bb,Qw,Pb,Rw,Bw,Qb,Bw	lightRed	
073f7cd9ab900ef5940c330c930cefae	964	Bb,Kw,Pw,Nb,Bw,Kb,Pb,Nw,Kb,,,,,,,Bw,Qw,,,,,,,Rb,Nb,,,Pb,Pb,,,Pw,Rw,,,Pb,Pb,,,Qw,Pb,,,,,,,Bb,Qb,,,,,,,Rw,Nb,Bb,Nw,Pw,Kw,Bw,Nb,Qb	lightRed	
0740a651e3b4479e0ba65f9b95912db8	3380	Nw,Rb,Nw,Qw,Kb,Rw,Nb,Nw,Qb,,,,,,,Nb,Nw,,,,,,,Qw,Rw,,,,,,,Kw,Kw,,,,,,,Rw,Qw,,,,,,,Nw,Nb,,,,,,,Qb,Qb,Nw,Pb,Kb,Bw,Nb,Pw,Pw	lightGray	
074b3a11695469cc9ca2d9a32b9f6053	1186	Nb,Kw,Qb,Nw,Rb,Kb,Bw,Nb,Pw,,,,,,,Bw,Kw,,,,,,,Nb,Bw,,,Pb,Pb,,,Pw,Nb,,,Pb,Pb,,,Kw,Pb,,,,,,,Qb,Kb,,,,,,,Nw,Bb,Nb,Qw,Kb,Rb,Nw,Qb,Nb	darkRed	
0751d7aeda0026e66374ad1849850537	920	Qb,Pw,Nb,Bw,Kb,Pb,Nw,Rw,Bb,,,,,,,Rw,Kb,,,,,,,Rw,Rw,,,,,,,Rw,Nb,,,,,,,Rw,Bb,,,,,,,Rw,Kw,,,,,,,Rw,Qw,Pb,Qb,Bb,Rw,Pw,Qw,Rw	lightRed	
07811456fcb2aacee86d77933dccd7f4	2335	Nb,Qb,Nw,Rb,Kb,Bw,Nb,Nw,Nw,,,,,,,Nb,Rb,,,,,,,Qw,Kb,,,Nw,Nw,,,Kb,Qw,,,Nw,Nw,,,Rb,Nb,,,,,,,Nw,Rw,,,,,,,Qb,Pb,Pw,Rb,Bw,Qb,Pb,Rw,Qb	darkGray	
0785eae8d0245c092f98c06e74706e28	320	Rw,Rw,Rw,Rw,Rw,Rw,Rw,Rw,Qw,,,,,,,Pb,Pw,,,,,,,Rw,Rb,,,Kb,Kb,,,Bb,Bw,,,Kb,Kb,,,Qw,Qb,,,,,,,Pw,Pb,,,,,,,Rb,Pw,Nb,Rw,Kw,Qb,Nw,Rb,Qb	darkGray	
07969aa47513c5337b01e93531e66779	2417	Bb,Bw,Nb,Pw,Kw,Bb,Nw,Qw,Kw,,,,,,,Nw,Pw,,,,,,,Bb,Nw,,,Nb,Nb,,,Kb,Bb,,,Nb,Nb,,,Pb,Kb,,,,,,,Nb,Pb,,,,,,,Bw,Rb,Nb,Rw,Kb,Qw,Nw,Rb,Rb	lightRed	
0833deb41735c1985b440e2c1a28b6ca	3239	Kb,Pw,Nb,Bw,Kb,Pb,Nw,Nw,Rb,,,,,,,Pb,Bw,,,,,,,Kb,Qw,,,,,,,Bb,Pw,,,,,,,Nw,Rw,,,,,,,Pw,Bb,,,,,,,Kw,Pb,Bb,Rw,Pb,Qb,Bw,Rb,Nw	lightGray	
084dc9b53beea1191c04ac194aadac13	3516	Nw,Pb,Rw,Bb,Qw,Pw,Rb,Rw,Nb,,,,,,,Kw,Pw,,,,,,,Rw,Kw,,,Nb,Nb,,,Nb,Bb,,,Nb,Nb,,,Qw,Nw,,,,,,,Kb,Pb,,,,,,,Rb,Qb,Nb,Rw,Kw,Kb,Nw,Rb,Bb	lightGray	
08b1492a5499e53675ad1c8ebea9fbc6	3480	Rb,Bb,Nw,Pb,Kb,Bw,Nb,Pw,Pw,,,,,,,Pw,Rb,,,,,,,Qw,Bw,,,,,,,Bw,Qb,,,,,,,Rb,Kw,,,,,,,Pb,Rw,,,,,,,Qb,Qw,Kb,Rb,Nw,Bb,Kw,Rw,Kb	lightRed	
08d52c22ced63f63e2e2ba2a07807bc7	215	Bw,Kw,Bb,Nb,Pw,Kb,Bw,Bb,Nb,,,,,,,Rb,Rw,,,,,,,Nw,Kb,,,Qb,Qb,,,Qb,Qw,,,Qb,Qb,,,Kw,Nw,,,,,,,Rw,Rb,,,,,,,Nb,Bb,Kw,Rw,Nb,Qw,Kb,Rb,Kb	darkGray	
08e9e883907f0884828a8a6af46bb354	438	Bw,Nw,Rb,Kw,Qb,Nb,Rw,Nw,Qb,,,,,,,Pb,Pb,,,,,,,Qb,Rb,,,Bb,Bb,,,Bw,Bw,,,Bb,Bb,,,Rb,Qw,,,,,,,Pw,Pw,,,,,,,Qw,Rb,Bb,Rw,Pw,Qw,Bw,Rb,Pb	darkGray	
